DATE,FPCPITOTLZGUSA_NBD19840101
1960-01-01,33.90220
1961-01-01,24.89746
1962-01-01,27.87498
1963-01-01,28.82593
1964-01-01,29.73843
1965-01-01,36.85981
1966-01-01,70.10930
1967-01-01,64.47536
1968-01-01,99.33173
1969-01-01,127.01642
1970-01-01,135.75647
1971-01-01,99.81935
1972-01-01,76.09002
1973-01-01,143.65095
1974-01-01,257.05647
1975-01-01,212.60485
1976-01-01,133.58366
1977-01-01,151.18313
1978-01-01,177.44218
1979-01-01,261.69930
1980-01-01,315.05849
1981-01-01,240.31229
1982-01-01,142.57357
1983-01-01,74.69849
1984-01-01,100.00000
1985-01-01,82.44657
1986-01-01,44.13515
1987-01-01,85.21179
1988-01-01,94.81938
1989-01-01,112.24191
1990-01-01,125.51824
1991-01-01,98.47527
1992-01-01,70.42890
1993-01-01,68.63464
1994-01-01,60.63063
1995-01-01,65.23419
1996-01-01,68.15905
1997-01-01,54.35811
1998-01-01,36.09502
1999-01-01,50.87802
2000-01-01,78.52179
2001-01-01,65.71673
2002-01-01,36.87986
2003-01-01,52.78633
2004-01-01,62.25357
2005-01-01,78.89127
2006-01-01,75.01261
2007-01-01,66.33296
2008-01-01,89.27029
2009-01-01,-8.26749
2010-01-01,38.13580
2011-01-01,73.40578
2012-01-01,48.11813
2013-01-01,34.06163
2014-01-01,37.72142
2015-01-01,2.75843
2016-01-01,29.33549
2017-01-01,49.53127
2018-01-01,56.79719
2019-01-01,42.13917
2020-01-01,28.68444
2021-01-01,109.23893
2022-01-01,186.08845
