DATE,MSPUS_NBD19630101
1/1/2002,1060.11236
4/1/2002,1051.68539
7/1/2002,1000.5618
10/1/2002,1067.97753
1/1/2003,1044.94382
4/1/2003,1077.52809
7/1/2003,1078.08989
10/1/2003,1116.85393
1/1/2004,1194.94382
4/1/2004,1222.47191
7/1/2004,1199.4382
10/1/2004,1285.39326
1/1/2005,1306.17978
4/1/2005,1312.92135
7/1/2005,1328.08989
10/1/2005,1368.53933
1/1/2006,1391.57303
4/1/2006,1383.70787
7/1/2006,1323.59551
10/1/2006,1378.65169
1/1/2007,1446.06742
4/1/2007,1360.67416
7/1/2007,1358.42697
10/1/2007,1339.32584
1/1/2008,1314.04494
4/1/2008,1321.91011
7/1/2008,1272.47191
10/1/2008,1250
1/1/2009,1170.78652
4/1/2009,1241.01124
7/1/2009,1203.93258
10/1/2009,1230.33708
1/1/2010,1252.24719
4/1/2010,1233.14607
7/1/2010,1258.98876
10/1/2010,1260.11236
1/1/2011,1274.7191
4/1/2011,1281.46067
7/1/2011,1255.61798
10/1/2011,1242.13483
1/1/2012,1339.32584
4/1/2012,1341.01124
7/1/2012,1397.75281
10/1/2012,1414.04494
1/1/2013,1451.68539
4/1/2013,1506.17978
7/1/2013,1487.64045
10/1/2013,1537.07865
1/1/2014,1546.06742
4/1/2014,1617.97753
7/1/2014,1578.65169
10/1/2014,1679.21348
1/1/2015,1624.7191
4/1/2015,1624.1573
7/1/2015,1661.79775
10/1/2015,1699.4382
1/1/2016,1684.26966
4/1/2016,1719.10112
7/1/2016,1706.74157
10/1/2016,1746.62921
1/1/2017,1758.98876
4/1/2017,1787.64045
7/1/2017,1800.5618
10/1/2017,1898.31461
1/1/2018,1864.04494
4/1/2018,1773.03371
7/1/2018,1858.98876
10/1/2018,1813.48315
1/1/2019,1758.42697
4/1/2019,1811.79775
7/1/2019,1788.76404
10/1/2019,1837.64045
1/1/2020,1848.31461
4/1/2020,1812.35955
7/1/2020,1896.06742
10/1/2020,2015.16854
1/1/2021,2077.52809
4/1/2021,2149.4382
7/1/2021,2310.11236
10/1/2021,2379.77528
1/1/2022,2433.14607
