DATE,MSPNHSUS
1963-01-01,17700.000000000000
1963-04-01,17900.000000000000
1963-07-01,18033.333333333333
1963-10-01,18233.333333333333
1964-01-01,18266.666666666667
1964-04-01,18966.666666666667
1964-07-01,18966.666666666667
1964-10-01,19733.333333333333
1965-01-01,20300.000000000000
1965-04-01,19766.666666666667
1965-07-01,20266.666666666667
1965-10-01,20266.666666666667
1966-01-01,20966.666666666667
1966-04-01,22166.666666666667
1966-07-01,21566.666666666667
1966-10-01,21400.000000000000
1967-01-01,22333.333333333333
1967-04-01,23300.000000000000
1967-07-01,22600.000000000000
1967-10-01,22533.333333333333
1968-01-01,23833.333333333333
1968-04-01,25066.666666666667
1968-07-01,24866.666666666667
1968-10-01,25566.666666666667
1969-01-01,25600.000000000000
1969-04-01,26000.000000000000
1969-07-01,25900.000000000000
1969-10-01,24800.000000000000
1970-01-01,23933.333333333333
1970-04-01,24566.666666666667
1970-07-01,23000.000000000000
1970-10-01,22633.333333333333
1971-01-01,24233.333333333333
1971-04-01,25800.000000000000
1971-07-01,25300.000000000000
1971-10-01,25533.333333333333
1972-01-01,26200.000000000000
1972-04-01,26833.333333333333
1972-07-01,27933.333333333333
1972-10-01,29233.333333333333
1973-01-01,30333.333333333333
1973-04-01,32633.333333333333
1973-07-01,33533.333333333333
1973-10-01,34333.333333333333
1974-01-01,35033.333333333333
1974-04-01,35500.000000000000
1974-07-01,36233.333333333333
1974-10-01,37300.000000000000
1975-01-01,37966.666666666667
1975-04-01,38866.666666666667
1975-07-01,38833.333333333333
1975-10-01,41300.000000000000
1976-01-01,42633.333333333333
1976-04-01,44333.333333333333
1976-07-01,44500.000000000000
1976-10-01,45666.666666666667
1977-01-01,46366.666666666667
1977-04-01,48900.000000000000
1977-07-01,48700.000000000000
1977-10-01,51966.666666666667
1978-01-01,52900.000000000000
1978-04-01,55233.333333333333
1978-07-01,56066.666666666667
1978-10-01,58966.666666666667
1979-01-01,60633.333333333333
1979-04-01,63200.000000000000
1979-07-01,64600.000000000000
1979-10-01,62566.666666666667
1980-01-01,63466.666666666667
1980-04-01,63700.000000000000
1980-07-01,65233.333333333333
1980-10-01,66433.333333333333
1981-01-01,66833.333333333333
1981-04-01,69433.333333333333
1981-07-01,69300.000000000000
1981-10-01,69733.333333333333
1982-01-01,66366.666666666667
1982-04-01,69600.000000000000
1982-07-01,69600.000000000000
1982-10-01,71633.333333333333
1983-01-01,73266.666666666667
1983-04-01,75000.000000000000
1983-07-01,77666.666666666667
1983-10-01,75900.000000000000
1984-01-01,77933.333333333333
1984-04-01,80500.000000000000
1984-07-01,81333.333333333333
1984-10-01,80300.000000000000
1985-01-01,82900.000000000000
1985-04-01,84000.000000000000
1985-07-01,83366.666666666667
1985-10-01,86833.333333333333
1986-01-01,88333.333333333333
1986-04-01,91933.333333333333
1986-07-01,93533.333333333333
1986-10-01,95133.333333333333
1987-01-01,97366.666666666667
1987-04-01,103466.666666666667
1987-07-01,106100.000000000000
1987-10-01,111766.666666666667
1988-01-01,112933.333333333333
1988-04-01,110833.333333333333
1988-07-01,114866.666666666667
1988-10-01,114766.666666666667
1989-01-01,118000.000000000000
1989-04-01,119500.000000000000
1989-07-01,119633.333333333333
1989-10-01,124400.000000000000
1990-01-01,123766.666666666667
1990-04-01,126666.666666666667
1990-07-01,116700.000000000000
1990-10-01,121966.666666666667
1991-01-01,120100.000000000000
1991-04-01,118666.666666666667
1991-07-01,120266.666666666667
1991-10-01,121033.333333333333
1992-01-01,119066.666666666667
1992-04-01,119166.666666666667
1992-07-01,120333.333333333333
1992-10-01,126633.333333333333
1993-01-01,124133.333333333333
1993-04-01,127133.333333333333
1993-07-01,126633.333333333333
1993-10-01,126666.666666666667
1994-01-01,129400.000000000000
1994-04-01,130800.000000000000
1994-07-01,129133.333333333333
1994-10-01,132300.000000000000
1995-01-01,130966.666666666667
1995-04-01,133866.666666666667
1995-07-01,131966.666666666667
1995-10-01,136933.333333333333
1996-01-01,136100.000000000000
1996-04-01,138833.333333333333
1996-07-01,140066.666666666667
1996-10-01,144066.666666666667
1997-01-01,145333.333333333333
