,observation_date,rental_occupancy,median_house_sale,qrt_rent_ind
0,2000-04-01,33522,163200,100.0
1,2000-07-01,33201,168800,101.02152
2,2000-10-01,33635,172900,102.24371
3,2001-01-01,33552,169800,103.37468
4,2001-04-01,33430,179000,104.48741
5,2001-07-01,33223,172500,105.67311
6,2001-10-01,33468,171100,107.00474
7,2002-01-01,33707,188700,108.15396
8,2002-04-01,34119,187200,108.82889
9,2002-07-01,33813,178100,109.5768
10,2002-10-01,33572,190100,110.50711
11,2003-01-01,33917,186000,111.47391
12,2003-04-01,33901,191800,112.09413
13,2003-07-01,33503,191900,112.7873
14,2003-10-01,33414,198800,113.51696
15,2004-01-01,33479,212700,114.24663
16,2004-04-01,32913,217600,115.03101
17,2004-07-01,33429,213500,115.92484
18,2004-10-01,33502,228800,116.72747
19,2005-01-01,33612,232500,117.65779
20,2005-04-01,34260,233700,118.42393
21,2005-07-01,34256,236400,119.31777
22,2005-10-01,34162,243600,120.35753
23,2006-01-01,34757,247700,121.26961
24,2006-04-01,34588,246300,122.38234
25,2006-07-01,34359,235600,123.7687
26,2006-10-01,34552,245400,125.30099
27,2007-01-01,35031,257400,126.78584
28,2007-04-01,35390,242200,127.80007
29,2007-07-01,35436,241800,128.80354
30,2007-10-01,36003,238400,130.3185
31,2008-01-01,35859,233900,131.53028
32,2008-04-01,35650,235300,132.41828
33,2008-07-01,35920,226500,133.61437
34,2008-10-01,36358,222500,134.9533
35,2009-01-01,36610,208400,135.88435
36,2009-04-01,36644,220900,136.27508
37,2009-07-01,36439,214300,136.26195
38,2009-10-01,36948,219000,136.22273
39,2010-01-01,37020,222900,136.30974
40,2010-04-01,37309,219500,136.25246
41,2010-07-01,37409,224100,136.35863
42,2010-10-01,38029,224300,136.97939
43,2011-01-01,38021,226900,137.81996
44,2011-04-01,38687,228100,138.12587
45,2011-07-01,38303,223500,138.94856
46,2011-10-01,38778,221100,140.31503
47,2012-01-01,39530,238400,141.27453
48,2012-04-01,39377,238700,141.83874
49,2012-07-01,39634,248800,142.68606
50,2012-10-01,39854,251700,144.139
51,2013-01-01,40178,258400,145.1618
52,2013-04-01,40337,268100,145.83145
53,2013-07-01,40097,264800,146.86684
54,2013-10-01,40284,273600,148.18424
55,2014-01-01,40636,275200,149.31339
56,2014-04-01,40976,288000,150.334
57,2014-07-01,41407,281000,151.64064
58,2014-10-01,42416,298900,153.22547
59,2015-01-01,42631,289200,154.52225
60,2015-04-01,43029,289100,155.57716
61,2015-07-01,42770,295800,157.14411
62,2015-10-01,42758,302500,158.87523
63,2016-01-01,43047,299800,160.20978
64,2016-04-01,44045,306000,161.45804
65,2016-07-01,43451,303800,163.03174
66,2016-10-01,43251,310900,165.03502
67,2017-01-01,43475,313100,166.46224
68,2017-04-01,43383,318200,167.67056
69,2017-07-01,43150,320500,169.26669
70,2017-10-01,43230,337900,171.11912
71,2018-01-01,43249,331800,172.55527
72,2018-04-01,43289,315600,173.76341
73,2018-07-01,43225,330900,175.39858
74,2018-10-01,43079,322800,177.20011
75,2019-01-01,43723,313000,178.66855
76,2019-04-01,43887,322500,180.34641
77,2019-07-01,43196,318400,182.06439
78,2019-10-01,43233,327100,183.74462
79,2020-01-01,43094,329000,185.32652
80,2020-04-01,40738,322600,186.47209
81,2020-07-01,41256,337500,187.39584
82,2020-10-01,43002,358700,188.27235
83,2021-01-01,43382,369800,188.9305
84,2021-04-01,43695,382600,189.91536
85,2021-07-01,44036,411200,191.43269
86,2021-10-01,44050,423600,193.971
87,2022-01-01,44281,433100,196.7251
88,2022-04-01,43849,449300,199.92594
89,2022-07-01,43670,468000,204.35972
90,2022-10-01,44291,479500,209.34823
91,2023-01-01,44133,429000,213.86775
92,2023-04-01,44320,416100,217.11364
