DATE,MSPNHSUS_NBD20020101
1963-01-01,9.71040
1964-01-01,10.25987
1965-01-01,10.89042
1966-01-01,11.63356
1967-01-01,12.26411
1968-01-01,13.42161
1969-01-01,13.82246
1970-01-01,12.71900
1971-01-01,13.62879
1972-01-01,14.88988
1973-01-01,17.67779
1974-01-01,19.46584
1975-01-01,21.20885
1976-01-01,23.93370
1977-01-01,26.47390
1978-01-01,30.15358
1979-01-01,33.91434
1980-01-01,34.97275
1981-01-01,37.19768
1982-01-01,37.45440
1983-01-01,40.78278
1984-01-01,43.24641
1985-01-01,45.54790
1986-01-01,49.84912
1987-01-01,56.57344
1988-01-01,61.26199
1989-01-01,65.06328
1990-01-01,66.08566
1991-01-01,64.86511
1992-01-01,65.55871
1993-01-01,68.17547
1994-01-01,70.48147
1995-01-01,72.11638
1996-01-01,75.53934
1997-01-01,78.39481
1998-01-01,82.13755
1999-01-01,86.38923
2000-01-01,90.01036
2001-01-01,93.28920
2002-01-01,100.00000
2003-01-01,103.43647
2004-01-01,117.72283
2005-01-01,126.58199
2006-01-01,131.36963
2007-01-01,131.73445
2008-01-01,124.52822
2009-01-01,115.93028
2010-01-01,119.57393
2011-01-01,121.23587
2012-01-01,130.85169
2013-01-01,143.27343
2014-01-01,153.04238
2015-01-01,158.75332
2016-01-01,165.65329
2017-01-01,173.83236
2018-01-01,174.63856
2019-01-01,172.55326
2020-01-01,181.05211
2021-01-01,212.92618
2022-01-01,246.37211
2023-01-01,.
