DATE,MSPNHSUS_NBD20020101
1963-01-01,9.45513
1963-04-01,9.56197
1963-07-01,9.63319
1963-10-01,9.74003
1964-01-01,9.75783
1964-04-01,10.13177
1964-07-01,10.13177
1964-10-01,10.54131
1965-01-01,10.84402
1965-04-01,10.55912
1965-07-01,10.82621
1965-10-01,10.82621
1966-01-01,11.20014
1966-04-01,11.84117
1966-07-01,11.52066
1966-10-01,11.43162
1967-01-01,11.93020
1967-04-01,12.44658
1967-07-01,12.07265
1967-10-01,12.03704
1968-01-01,12.73148
1968-04-01,13.39031
1968-07-01,13.28348
1968-10-01,13.65741
1969-01-01,13.67521
1969-04-01,13.88889
1969-07-01,13.83547
1969-10-01,13.24786
1970-01-01,12.78490
1970-04-01,13.12322
1970-07-01,12.28632
1970-10-01,12.09046
1971-01-01,12.94516
1971-04-01,13.78205
1971-07-01,13.51496
1971-10-01,13.63960
1972-01-01,13.99573
1972-04-01,14.33405
1972-07-01,14.92165
1972-10-01,15.61610
1973-01-01,16.20370
1973-04-01,17.43234
1973-07-01,17.91311
1973-10-01,18.34046
1974-01-01,18.71439
1974-04-01,18.96368
1974-07-01,19.35541
1974-10-01,19.92521
1975-01-01,20.28134
1975-04-01,20.76211
1975-07-01,20.74430
1975-10-01,22.06197
1976-01-01,22.77422
1976-04-01,23.68234
1976-07-01,23.77137
1976-10-01,24.39459
1977-01-01,24.76852
1977-04-01,26.12179
1977-07-01,26.01496
1977-10-01,27.75997
1978-01-01,28.25855
1978-04-01,29.50499
1978-07-01,29.95014
1978-10-01,31.49929
1979-01-01,32.38960
1979-04-01,33.76068
1979-07-01,34.50855
1979-10-01,33.42236
1980-01-01,33.90313
1980-04-01,34.02778
1980-07-01,34.84687
1980-10-01,35.48789
1981-01-01,35.70157
1981-04-01,37.09046
1981-07-01,37.01923
1981-10-01,37.25071
1982-01-01,35.45228
1982-04-01,37.17949
1982-07-01,37.17949
1982-10-01,38.26567
1983-01-01,39.13818
1983-04-01,40.06410
1983-07-01,41.48860
1983-10-01,40.54487
1984-01-01,41.63105
1984-04-01,43.00214
1984-07-01,43.44729
1984-10-01,42.89530
1985-01-01,44.28419
1985-04-01,44.87179
1985-07-01,44.53348
1985-10-01,46.38533
1986-01-01,47.18661
1986-04-01,49.10969
1986-07-01,49.96439
1986-10-01,50.81909
1987-01-01,52.01211
1987-04-01,55.27066
1987-07-01,56.67735
1987-10-01,59.70442
1988-01-01,60.32764
1988-04-01,59.20584
1988-07-01,61.36040
1988-10-01,61.30698
1989-01-01,63.03419
1989-04-01,63.83547
1989-07-01,63.90670
1989-10-01,66.45299
1990-01-01,66.11467
1990-04-01,67.66382
1990-07-01,62.33974
1990-10-01,65.15313
1991-01-01,64.15598
1991-04-01,63.39031
1991-07-01,64.24501
1991-10-01,64.65456
1992-01-01,63.60399
1992-04-01,63.65741
1992-07-01,64.28063
1992-10-01,67.64601
1993-01-01,66.31054
1993-04-01,67.91311
1993-07-01,67.64601
1993-10-01,67.66382
1994-01-01,69.12393
1994-04-01,69.87179
1994-07-01,68.98148
1994-10-01,70.67308
1995-01-01,69.96083
1995-04-01,71.50997
1995-07-01,70.49501
1995-10-01,73.14815
1996-01-01,72.70299
1996-04-01,74.16311
1996-07-01,74.82194
1996-10-01,76.95869
1997-01-01,77.63533
1997-04-01,77.63533
1997-07-01,77.67094
1997-10-01,76.99430
1998-01-01,81.32123
1998-04-01,79.98575
1998-07-01,81.87322
1998-10-01,81.55271
1999-01-01,83.76068
1999-04-01,84.33048
1999-07-01,84.79345
1999-10-01,88.65741
2000-01-01,87.42877
2000-04-01,86.78775
2000-07-01,90.29558
2000-10-01,91.34615
2001-01-01,90.22436
2001-04-01,94.35541
2001-07-01,91.72009
2001-10-01,92.52137
2002-01-01,100.00000
2002-04-01,99.48362
2002-07-01,94.72934
2002-10-01,101.13960
2003-01-01,98.61111
2003-04-01,102.01211
2003-07-01,101.97650
2003-10-01,106.33903
2004-01-01,113.72863
2004-04-01,115.68732
2004-07-01,114.33405
2004-10-01,121.67023
2005-01-01,122.80983
2005-04-01,122.98789
2005-07-01,126.37108
2005-10-01,128.27635
2006-01-01,130.78704
2006-04-01,131.48148
2006-07-01,126.19302
2006-10-01,130.91168
2007-01-01,136.71652
2007-04-01,128.73932
2007-07-01,128.73932
2007-10-01,126.62037
2008-01-01,125.89031
2008-04-01,126.42450
2008-07-01,121.70584
2008-10-01,118.30484
2009-01-01,111.00427
2009-04-01,116.84473
2009-07-01,113.58618
2009-10-01,116.89815
2010-01-01,118.39387
2010-04-01,117.21866
2010-07-01,118.71439
2010-10-01,118.41168
2011-01-01,121.20726
2011-04-01,122.31125
2011-07-01,118.67877
2011-10-01,117.11182
2012-01-01,124.89316
2012-04-01,126.10399
2012-07-01,132.69231
2012-10-01,133.63604
2013-01-01,137.83832
2013-04-01,142.94872
2013-07-01,140.18875
2013-10-01,145.45940
2014-01-01,146.10043
2014-04-01,150.83689
2014-07-01,148.43305
2014-10-01,159.68661
2015-01-01,154.05983
2015-04-01,154.39815
2015-07-01,157.54986
2015-10-01,161.62749
2016-01-01,159.79345
2016-04-01,164.65456
2016-07-01,162.23291
2016-10-01,168.23362
2017-01-01,166.47080
2017-04-01,169.14174
2017-07-01,172.47151
2017-10-01,179.16667
2018-01-01,176.67379
2018-04-01,167.66382
2018-07-01,174.00285
2018-10-01,172.09758
2019-01-01,166.80912
2019-04-01,171.56339
2019-07-01,169.33761
2019-10-01,174.48362
2020-01-01,176.08618
2020-04-01,172.41809
2020-07-01,178.00926
2020-10-01,189.28063
2021-01-01,194.94302
2021-04-01,203.29416
2021-07-01,217.85969
2021-10-01,225.71225
2022-01-01,230.37749
2022-04-01,238.88889
2022-07-01,248.61111
2022-10-01,256.16097
2023-01-01,232.24715
2023-04-01,221.38533
