DATE,MSPUS_NBD20020101
1963-01-01,9.70300
1964-01-01,10.17336
1965-01-01,10.81844
1966-01-01,11.55759
1967-01-01,12.22954
1968-01-01,13.33154
1969-01-01,13.76159
1970-01-01,12.61927
1971-01-01,13.56001
1972-01-01,14.79640
1973-01-01,17.52453
1974-01-01,19.37912
1975-01-01,21.11275
1976-01-01,23.77369
1977-01-01,26.28679
1978-01-01,30.02285
1979-01-01,33.73203
1980-01-01,34.80715
1981-01-01,37.06491
1982-01-01,37.21274
1983-01-01,40.51875
1984-01-01,42.97809
1985-01-01,45.30305
1986-01-01,49.46916
1987-01-01,56.28276
1988-01-01,60.32791
1989-01-01,64.73592
1990-01-01,65.74385
1991-01-01,64.49402
1992-01-01,65.24661
1993-01-01,68.00161
1994-01-01,70.11154
1995-01-01,71.75111
1996-01-01,75.39309
1997-01-01,77.94651
1998-01-01,81.66913
1999-01-01,86.07714
2000-01-01,90.06854
2001-01-01,93.05201
2002-01-01,100.00000
2003-01-01,103.27913
2004-01-01,117.26918
2005-01-01,127.16033
2006-01-01,131.03078
2007-01-01,131.67585
2008-01-01,123.39739
2009-01-01,115.92528
2010-01-01,119.71509
2011-01-01,120.89773
2012-01-01,131.38019
2013-01-01,143.11248
2014-01-01,153.62183
2015-01-01,158.12391
2016-01-01,164.02365
2017-01-01,173.32348
2018-01-01,174.85553
2019-01-01,172.15428
2020-01-01,181.13157
2021-01-01,213.30466
2022-01-01,245.92125
2023-01-01,.
