DATE,MSPUS_NBD20020101
1963-01-01,9.43296
1963-04-01,9.53895
1963-07-01,9.48596
1963-10-01,9.80392
1964-01-01,9.80392
1964-04-01,10.01590
1964-07-01,10.01590
1964-10-01,10.28087
1965-01-01,10.70482
1965-04-01,10.49285
1965-07-01,10.70482
1965-10-01,10.75782
1966-01-01,11.12878
1966-04-01,11.71171
1966-07-01,11.39375
1966-10-01,11.34075
1967-01-01,11.81770
1967-04-01,12.34764
1967-07-01,11.92369
1967-10-01,12.13567
1968-01-01,12.66561
1968-04-01,13.19555
1968-07-01,13.14255
1968-10-01,13.56651
1969-01-01,13.61950
1969-04-01,13.72549
1969-07-01,13.72549
1969-10-01,13.19555
1970-01-01,12.66561
1970-04-01,12.93058
1970-07-01,12.18866
1970-10-01,11.97668
1971-01-01,12.87758
1971-04-01,13.67250
1971-07-01,13.40753
1971-10-01,13.51351
1972-01-01,13.88447
1972-04-01,14.20244
1972-07-01,14.78537
1972-10-01,15.47430
1973-01-01,16.00424
1973-04-01,17.32909
1973-07-01,17.75305
1973-10-01,18.01802
1974-01-01,18.65395
1974-04-01,18.86592
1974-07-01,19.18389
1974-10-01,19.71383
1975-01-01,20.19078
1975-04-01,20.66773
1975-07-01,20.56174
1975-10-01,21.83360
1976-01-01,22.68151
1976-04-01,23.42342
1976-07-01,23.52941
1976-10-01,24.11235
1977-01-01,24.53630
1977-04-01,25.91415
1977-07-01,25.86116
1977-10-01,27.34499
1978-01-01,28.08691
1978-04-01,29.30578
1978-07-01,29.72973
1978-10-01,31.26656
1979-01-01,32.11447
1979-04-01,33.43932
1979-07-01,34.28723
1979-10-01,33.17435
1980-01-01,33.75729
1980-04-01,33.91627
1980-07-01,34.39322
1980-10-01,35.18813
1981-01-01,35.40011
1981-04-01,36.77795
1981-07-01,36.67197
1981-10-01,37.30790
1982-01-01,35.18813
1982-04-01,36.88394
1982-07-01,36.72496
1982-10-01,37.94383
1983-01-01,38.84473
1983-04-01,39.69263
1983-07-01,41.01749
1983-10-01,40.22258
1984-01-01,41.44144
1984-04-01,42.76630
1984-07-01,42.92528
1984-10-01,42.34234
1985-01-01,43.87917
1985-04-01,44.67409
1985-07-01,44.09115
1985-10-01,45.99894
1986-01-01,46.63487
1986-04-01,48.80763
1986-07-01,49.28458
1986-10-01,50.34446
1987-01-01,51.88129
1987-04-01,54.79597
1987-07-01,56.17382
1987-10-01,59.08850
1988-01-01,58.29359
1988-04-01,58.29359
1988-07-01,60.94330
1988-10-01,60.36036
1989-01-01,62.53312
1989-04-01,63.01007
1989-07-01,63.59300
1989-10-01,66.13672
1990-01-01,65.65978
1990-04-01,67.19661
1990-07-01,62.00318
1990-10-01,64.38792
1991-01-01,63.59300
1991-04-01,63.54001
1991-07-01,63.59300
1991-10-01,63.59300
1992-01-01,63.32803
1992-04-01,63.59300
1992-07-01,63.59300
1992-10-01,66.77266
1993-01-01,66.24271
1993-04-01,67.30260
1993-07-01,67.30260
1993-10-01,67.30260
1994-01-01,68.89242
1994-04-01,68.89242
