DATE,POPTHM
1959-01-01,177130.083333333333
1960-01-01,180760.166666666667
1961-01-01,183742.250000000000
1962-01-01,186590.500000000000
1963-01-01,189299.583333333333
1964-01-01,191927.000000000000
1965-01-01,194346.500000000000
1966-01-01,196599.250000000000
1967-01-01,198751.583333333333
1968-01-01,200745.333333333333
1969-01-01,202735.833333333333
1970-01-01,205088.833333333333
1971-01-01,207691.750000000000
1972-01-01,209924.083333333333
1973-01-01,211938.666666666667
1974-01-01,213898.250000000000
1975-01-01,215981.000000000000
1976-01-01,218086.250000000000
1977-01-01,220289.083333333333
1978-01-01,222628.916666666667
1979-01-01,225106.166666666667
1980-01-01,227725.833333333333
1981-01-01,230008.500000000000
1982-01-01,232218.333333333333
1983-01-01,234332.666666666667
1984-01-01,236394.250000000000
1985-01-01,238506.083333333333
1986-01-01,240682.250000000000
1987-01-01,242842.583333333333
1988-01-01,245061.166666666667
1989-01-01,247387.583333333333
1990-01-01,250180.916666666667
1991-01-01,253530.166666666667
1992-01-01,256921.666666666667
1993-01-01,260281.583333333333
1994-01-01,263454.666666666667
1995-01-01,266587.750000000000
1996-01-01,269714.666666666667
1997-01-01,272958.166666666667
1998-01-01,276154.250000000000
1999-01-01,279327.583333333333
2000-01-01,282398.416666666667
2001-01-01,285225.166666666667
2002-01-01,287954.583333333333
2003-01-01,290626.250000000000
2004-01-01,293262.333333333333
2005-01-01,295992.916666666667
2006-01-01,298817.666666666667
2007-01-01,301696.166666666667
2008-01-01,304543.083333333333
2009-01-01,307240.083333333333
2010-01-01,309838.833333333333
2011-01-01,312295.250000000000
2012-01-01,314725.416666666667
2013-01-01,317099.000000000000
2014-01-01,319600.416666666667
2015-01-01,322112.666666666667
2016-01-01,324609.333333333333
2017-01-01,326859.666666666667
2018-01-01,328794.500000000000
2019-01-01,330512.583333333333
2020-01-01,331787.416666666667
2021-01-01,332351.166666666667
2022-01-01,333595.083333333333
2023-01-01,.
