DATE,POPTHM_NBD20020101
1959-01-01,61.51320
1960-01-01,62.77385
1961-01-01,63.80945
1962-01-01,64.79859
1963-01-01,65.73939
1964-01-01,66.65183
1965-01-01,67.49207
1966-01-01,68.27440
1967-01-01,69.02185
1968-01-01,69.71423
1969-01-01,70.40549
1970-01-01,71.22263
1971-01-01,72.12657
1972-01-01,72.90180
1973-01-01,73.60142
1974-01-01,74.28194
1975-01-01,75.00523
1976-01-01,75.73634
1977-01-01,76.50133
1978-01-01,77.31390
1979-01-01,78.17419
1980-01-01,79.08394
1981-01-01,79.87666
1982-01-01,80.64408
1983-01-01,81.37834
1984-01-01,82.09428
1985-01-01,82.82767
1986-01-01,83.58341
1987-01-01,84.33364
1988-01-01,85.10410
1989-01-01,85.91201
1990-01-01,86.88207
1991-01-01,88.04519
1992-01-01,89.22298
1993-01-01,90.38980
1994-01-01,91.49174
1995-01-01,92.57979
1996-01-01,93.66570
1997-01-01,94.79209
1998-01-01,95.90202
1999-01-01,97.00404
2000-01-01,98.07047
2001-01-01,99.05214
2002-01-01,100.00000
2003-01-01,100.92781
2004-01-01,101.84326
2005-01-01,102.79153
2006-01-01,103.77250
2007-01-01,104.77214
2008-01-01,105.76080
2009-01-01,106.69741
2010-01-01,107.59990
2011-01-01,108.45295
2012-01-01,109.29689
2013-01-01,110.12119
2014-01-01,110.98987
2015-01-01,111.86232
2016-01-01,112.72935
2017-01-01,113.51084
2018-01-01,114.18276
2019-01-01,114.77941
2020-01-01,115.22213
2021-01-01,115.41791
2022-01-01,115.84990
2023-01-01,.
