DATE,POPTHM_NBD20020101
1959-01-01,61.35373
1959-04-01,61.59118
1959-07-01,61.85396
1959-10-01,62.12824
1960-01-01,62.49476
1960-04-01,62.87173
1960-07-01,63.18539
1960-10-01,63.43574
1961-01-01,63.64996
1961-04-01,63.89507
1961-07-01,64.16203
1961-10-01,64.43771
1962-01-01,64.66738
1962-04-01,64.89368
1962-07-01,65.14588
1962-10-01,65.40843
1963-01-01,65.62427
1963-04-01,65.83593
1963-07-01,66.08849
1963-10-01,66.34325
1964-01-01,66.54957
1964-04-01,66.76088
1964-07-01,67.00333
1964-10-01,67.24090
1965-01-01,67.42526
1965-04-01,67.60904
1965-07-01,67.83650
1965-10-01,68.05676
1966-01-01,68.22556
1966-04-01,68.40457
1966-07-01,68.61368
1966-10-01,68.82418
1967-01-01,68.99367
1967-04-01,69.16386
1967-07-01,69.35787
1967-10-01,69.55303
1968-01-01,69.70034
1968-04-01,69.85961
1968-07-01,70.04978
1968-10-01,70.23809
1969-01-01,70.38354
1969-04-01,70.54525
1969-07-01,70.74273
1969-10-01,70.95114
1970-01-01,71.12610
1970-04-01,71.34763
1970-07-01,71.59066
1970-10-01,71.83845
1971-01-01,72.05918
1971-04-01,72.26794
1971-07-01,72.49017
1971-10-01,72.71415
1972-01-01,72.88817
1972-04-01,73.06091
1972-07-01,73.25027
1972-10-01,73.44404
1973-01-01,73.60285
1973-04-01,73.76688
1973-07-01,73.95101
1973-10-01,74.13107
1974-01-01,74.28303
1974-04-01,74.44276
1974-07-01,74.63258
1974-10-01,74.82519
1975-01-01,74.97703
1975-04-01,75.15698
1975-07-01,75.37921
1975-10-01,75.57379
1976-01-01,75.73632
1976-04-01,75.89733
1976-07-01,76.09308
1976-10-01,76.29510
1977-01-01,76.47260
1977-04-01,76.65708
1977-07-01,76.87200
1977-10-01,77.09098
1978-01-01,77.27139
1978-04-01,77.46749
1978-07-01,77.69448
1978-10-01,77.92113
1979-01-01,78.11943
1979-04-01,78.32331
1979-07-01,78.56077
1979-10-01,78.80437
1980-01-01,79.02626
1980-04-01,79.24756
1980-07-01,79.48513
1980-10-01,79.70086
1981-01-01,79.86315
1981-04-01,80.04380
1981-07-01,80.26254
1981-10-01,80.47246
1982-01-01,80.64370
1982-04-01,80.82179
1982-07-01,81.02811
1982-10-01,81.22897
1983-01-01,81.39335
1983-04-01,81.56145
1983-07-01,81.76172
1983-10-01,81.95352
1984-01-01,82.11081
1984-04-01,82.27729
1984-07-01,82.47768
1984-10-01,82.67819
1985-01-01,82.83154
1985-04-01,83.00684
1985-07-01,83.22071
1985-10-01,83.42888
1986-01-01,83.59408
1986-04-01,83.77077
1986-07-01,83.97779
1986-10-01,84.17900
1987-01-01,84.34291
1987-04-01,84.52088
1987-07-01,84.73011
1987-10-01,84.93933
1988-01-01,85.10905
