DATE,TLRESCONS_NBD20020101
2002-01-01,100.00000
2002-04-01,103.89315
2002-07-01,104.19872
2002-10-01,105.16486
2003-01-01,108.46360
2003-04-01,110.51791
2003-07-01,118.13310
2003-10-01,126.51184
2004-01-01,130.48118
2004-04-01,135.53381
2004-07-01,142.34435
2004-10-01,144.52592
2005-01-01,152.08851
2005-04-01,157.53749
2005-07-01,165.34198
2005-10-01,172.59110
2006-01-01,175.07129
2006-04-01,164.59937
2006-07-01,152.22503
2006-10-01,143.71509
2007-01-01,138.75695
2007-04-01,134.36009
2007-07-01,125.73825
2007-10-01,113.08897
2008-01-01,102.97995
2008-04-01,99.89540
2008-07-01,92.79087
2008-10-01,82.24447
2009-01-01,71.23701
2009-04-01,63.57376
2009-07-01,66.41109
2009-10-01,67.94470
2010-01-01,67.83761
2010-04-01,67.68882
2010-07-01,64.64519
2010-10-01,63.99063
2011-01-01,64.52154
2011-04-01,65.62910
2011-07-01,66.58829
2011-10-01,66.05678
2012-01-01,66.24634
2012-04-01,69.55511
2012-07-01,73.56128
2012-10-01,77.92716
2013-01-01,80.93963
2013-04-01,84.20567
2013-07-01,87.62506
2013-10-01,92.40240
2014-01-01,95.79673
2014-04-01,97.74910
2014-07-01,98.08616
2014-10-01,102.56094
2015-01-01,107.02610
2015-04-01,111.03149
2015-07-01,115.59542
2015-10-01,117.36638
2016-01-01,120.76938
2016-04-01,122.79108
2016-07-01,125.31194
2016-10-01,131.68125
2017-01-01,136.44126
2017-04-01,139.55078
2017-07-01,141.43956
2017-10-01,144.67034
2018-01-01,149.29296
2018-04-01,149.31536
2018-07-01,144.18224
2018-10-01,138.32935
2019-01-01,134.72058
2019-04-01,138.22294
2019-07-01,145.65544
2019-10-01,150.84047
2020-01-01,159.03351
2020-04-01,154.10077
2020-07-01,166.69847
2020-10-01,183.75045
2021-01-01,195.54762
2021-04-01,203.13381
2021-07-01,211.80593
2021-10-01,222.45144
2022-01-01,242.25940
2022-04-01,250.54254
2022-07-01,236.64300
2022-10-01,225.25565
2023-01-01,221.38627
2023-04-01,219.66414
